,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
0,1,36,333743,7394463,10001,1,15.416667,1,1,6092017,1,1,1,2,1,100011,1,15.416667,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,25.0,,,,2732.58,3,10001101,1,19.532274,1,1,59,2,1,3,1,3,,,,,,,3.0,36.0,333104.0,7394476.0,2.0,2.0,4.0,13.0,1.0,,,,,,,,,,1.0,22.132647,3.0,2,1.0,36.0,333743.0,7394463.0,3.0,36.0,333104.0,7394476.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,5.0,45.0,,5.0,55.0,,10.0,16.0,3.0,,,,1.0,,,639.13,1
1,1,36,333743,7394463,10001,0,15.416667,1,1,6092017,1,1,1,2,1,100011,0,15.416667,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,25.0,,,,2732.58,3,10001101,0,19.532274,1,1,59,2,1,3,1,3,,,,,,,3.0,36.0,333104.0,7394476.0,2.0,2.0,4.0,13.0,1.0,,,,,,,,,,2.0,22.132647,3.0,2,3.0,36.0,333104.0,7394476.0,1.0,36.0,333743.0,7394463.0,,,,,,,,,,,,,3.0,8.0,3.0,2.0,2.0,16.0,,,,15.0,45.0,,15.0,55.0,,10.0,16.0,3.0,,,,1.0,,,639.13,2
5,1,36,333814,7394428,10002,1,15.416667,2,1,6092017,1,1,1,4,1,100021,1,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002101,1,19.532274,1,1,37,2,1,4,1,1,1000.0,,,,,,1.0,36.0,333453.0,7394501.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,1.0,22.132647,3.0,4,1.0,36.0,333814.0,7394428.0,1.0,36.0,333453.0,7394501.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,16.0,,,,8.0,0.0,,8.0,10.0,,10.0,16.0,3.0,,,,1.0,,,368.31,6
6,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002101,0,19.532274,1,1,37,2,1,4,1,1,1000.0,,,,,,1.0,36.0,333453.0,7394501.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,2.0,22.132647,3.0,4,1.0,36.0,333453.0,7394501.0,1.0,36.0,333814.0,7394428.0,,,,,,,,,,,,,2.0,8.0,2.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,368.31,7
7,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002101,0,19.532274,1,1,37,2,1,4,1,1,1000.0,,,,,,1.0,36.0,333453.0,7394501.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,3.0,22.132647,3.0,4,1.0,36.0,333814.0,7394428.0,1.0,36.0,333453.0,7394501.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,16.0,,,,12.0,50.0,,13.0,0.0,,10.0,16.0,3.0,,,,1.0,,,368.31,8
8,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002101,0,19.532274,1,1,37,2,1,4,1,1,1000.0,,,,,,1.0,36.0,333453.0,7394501.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,4.0,22.132647,3.0,4,1.0,36.0,333453.0,7394501.0,1.0,36.0,333814.0,7394428.0,,,,,,,,,,,,,2.0,8.0,2.0,2.0,2.0,16.0,,,,17.0,0.0,,17.0,10.0,,10.0,16.0,3.0,,,,1.0,,,368.31,9
9,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002102,1,19.802278,2,3,19,2,1,3,1,1,1100.0,,,,,,1.0,36.0,333539.0,7394387.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,1.0,22.438598,3.0,4,1.0,36.0,333814.0,7394428.0,1.0,36.0,333539.0,7394387.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,16.0,,,,7.0,50.0,,8.0,0.0,,10.0,16.0,3.0,,,,1.0,,,278.04,10
10,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002102,0,19.802278,2,3,19,2,1,3,1,1,1100.0,,,,,,1.0,36.0,333539.0,7394387.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,2.0,22.438598,3.0,4,1.0,36.0,333539.0,7394387.0,1.0,36.0,333814.0,7394428.0,,,,,,,,,,,,,2.0,8.0,2.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,278.04,11
11,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002102,0,19.802278,2,3,19,2,1,3,1,1,1100.0,,,,,,1.0,36.0,333539.0,7394387.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,3.0,22.438598,3.0,4,1.0,36.0,333814.0,7394428.0,1.0,36.0,333539.0,7394387.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,16.0,,,,12.0,50.0,,13.0,0.0,,10.0,16.0,3.0,,,,1.0,,,278.04,12
12,1,36,333814,7394428,10002,0,15.416667,2,1,6092017,1,1,1,4,1,100021,0,15.416667,1,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,18.0,,,,3200.0,1,10002102,0,19.802278,2,3,19,2,1,3,1,1,1100.0,,,,,,1.0,36.0,333539.0,7394387.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,4.0,22.438598,3.0,4,1.0,36.0,333539.0,7394387.0,1.0,36.0,333814.0,7394428.0,,,,,,,,,,,,,2.0,8.0,2.0,2.0,2.0,16.0,,,,18.0,0.0,,18.0,10.0,,10.0,16.0,3.0,,,,1.0,,,278.04,13
