,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
4044,15,36,336108,7395282,150050,0,43.588235,50,1,9092017,1,1,1,4,1,1500501,0,43.588235,1,4,2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,2.0,41.0,2015.0,2009.0,,8500.0,1,150050101,0,46.737077,1,1,48,1,1,4,1,1,6000.0,,,,,,214.0,36.0,343154.0,7395826.0,2.0,2.0,6.0,4.0,7.0,,,,,,,,,,2.0,52.959285,3.0,4,214.0,36.0,343154.0,7395826.0,214.0,36.0,342711.0,7396389.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,716.39,4045
4045,15,36,336108,7395282,150050,0,43.588235,50,1,9092017,1,1,1,4,1,1500501,0,43.588235,1,4,2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,2.0,41.0,2015.0,2009.0,,8500.0,1,150050101,0,46.737077,1,1,48,1,1,4,1,1,6000.0,,,,,,214.0,36.0,343154.0,7395826.0,2.0,2.0,6.0,4.0,7.0,,,,,,,,,,3.0,52.959285,3.0,4,214.0,36.0,342711.0,7396389.0,214.0,36.0,343154.0,7395826.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,10.0,,10.0,16.0,3.0,,,,1.0,,,716.39,4046
6401,21,36,332961,7391991,211283,0,75.117647,1283,1,1092018,1,1,1,5,1,2112831,0,75.117647,1,5,2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,49.0,2013.0,2015.0,2018.0,9986.61,3,211283103,0,97.531823,3,3,24,2,1,5,1,3,,,,,,,210.0,36.0,340511.0,7394008.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,2.0,110.516444,6.0,4,210.0,36.0,340511.0,7394008.0,210.0,36.0,340612.0,7393912.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,15.0,,12.0,21.0,,6.0,16.0,3.0,,,,1.0,,,139.34,6402
6402,21,36,332961,7391991,211283,0,75.117647,1283,1,1092018,1,1,1,5,1,2112831,0,75.117647,1,5,2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1.0,49.0,2013.0,2015.0,2018.0,9986.61,3,211283103,0,97.531823,3,3,24,2,1,5,1,3,,,,,,,210.0,36.0,340511.0,7394008.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,3.0,110.516444,6.0,4,210.0,36.0,340612.0,7393912.0,210.0,36.0,340511.0,7394008.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,13.0,5.0,,13.0,11.0,,6.0,16.0,3.0,,,,1.0,,,139.34,6403
13087,36,36,330870,7395709,361661,0,91.594937,1661,1,29092017,1,1,1,2,1,3616611,0,91.594937,1,2,1,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1,3.0,35.0,2014.0,,,4689.12,3,361661102,0,115.625527,2,4,30,1,1,5,1,3,,,,,,,210.0,36.0,340759.0,7393310.0,2.0,2.0,5.0,12.0,1.0,,,,,,,,,,2.0,131.019002,2.0,4,210.0,36.0,340759.0,7393310.0,210.0,36.0,340767.0,7393326.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,17.89,13088
13088,36,36,330870,7395709,361661,0,91.594937,1661,1,29092017,1,1,1,2,1,3616611,0,91.594937,1,2,1,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1,3.0,35.0,2014.0,,,4689.12,3,361661102,0,115.625527,2,4,30,1,1,5,1,3,,,,,,,210.0,36.0,340759.0,7393310.0,2.0,2.0,5.0,12.0,1.0,,,,,,,,,,3.0,131.019002,2.0,4,210.0,36.0,340767.0,7393326.0,210.0,36.0,340759.0,7393310.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,58.0,,13.0,1.0,,3.0,16.0,3.0,,,,1.0,,,17.89,13089
25788,66,36,330523,7387695,660319,0,55.0,319,1,25102018,1,1,1,4,1,6603191,0,55.0,1,4,2,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2011.0,,,6142.58,3,660319102,0,42.104506,2,3,39,1,1,5,1,3,,,,,,,211.0,36.0,343102.0,7392413.0,2.0,2.0,1.0,4.0,5.0,,,,,,,,,,2.0,47.709969,6.0,4,211.0,36.0,343102.0,7392413.0,211.0,36.0,343155.0,7392375.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,65.22,25789
25789,66,36,330523,7387695,660319,0,55.0,319,1,25102018,1,1,1,4,1,6603191,0,55.0,1,4,2,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2011.0,,,6142.58,3,660319102,0,42.104506,2,3,39,1,1,5,1,3,,,,,,,211.0,36.0,343102.0,7392413.0,2.0,2.0,1.0,4.0,5.0,,,,,,,,,,3.0,47.709969,6.0,4,211.0,36.0,343155.0,7392375.0,211.0,36.0,343102.0,7392413.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,2.0,,2.0,16.0,3.0,,,,1.0,,,65.22,25790
36105,85,36,330076,7396165,850356,0,16.401786,356,1,24062018,1,1,1,2,1,8503561,0,16.401786,1,2,2,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,47.0,2011.0,2009.0,,8964.25,3,850356101,0,9.876249,1,1,66,1,1,5,1,3,,,,,,,210.0,36.0,340473.0,7394029.0,2.0,2.0,1.0,4.0,5.0,,,,,,,,,,2.0,11.191095,4.0,5,210.0,36.0,340473.0,7394029.0,210.0,36.0,340284.0,7394393.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,410.14,36106
36106,85,36,330076,7396165,850356,0,16.401786,356,1,24062018,1,1,1,2,1,8503561,0,16.401786,1,2,2,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1.0,47.0,2011.0,2009.0,,8964.25,3,850356101,0,9.876249,1,1,66,1,1,5,1,3,,,,,,,210.0,36.0,340473.0,7394029.0,2.0,2.0,1.0,4.0,5.0,,,,,,,,,,3.0,11.191095,4.0,5,210.0,36.0,340284.0,7394393.0,210.0,36.0,340473.0,7394029.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,10.0,,10.0,16.0,3.0,,,,1.0,,,410.14,36107
