,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
3420,13,36,334594,7396091,130316,1,8.083333,316,1,9102017,1,1,1,2,1,1303161,1,8.083333,1,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,6.0,15.0,,,,1592.4,3,130316101,1,9.166027,1,1,67,2,1,1,2,3,,,,,,,13.0,36.0,334594.0,7396091.0,1.0,2.0,5.0,14.0,4.0,,,,,,,,,,1.0,10.38632,6.0,3,13.0,36.0,334594.0,7396091.0,168.0,36.0,339264.0,7396336.0,,,,,,,,,,,,,8.0,5.0,5.0,2.0,2.0,16.0,,,,8.0,0.0,,9.0,0.0,,60.0,16.0,3.0,,,,1.0,,,4676.42,3421
3764,14,36,335324,7395682,140378,0,32.5,378,1,4082018,1,1,1,4,1,1403781,0,32.5,1,4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,3.0,30.0,2004.0,,,5600.0,3,140378102,0,33.088338,2,3,31,2,1,5,1,1,2100.0,,,,,,167.0,36.0,339269.0,7395448.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,37.49346,6.0,6,167.0,36.0,339269.0,7395448.0,167.0,36.0,339547.0,7395040.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,13.0,,13.0,16.0,3.0,,,,1.0,,,493.71,3765
3765,14,36,335324,7395682,140378,0,32.5,378,1,4082018,1,1,1,4,1,1403781,0,32.5,1,4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,3.0,30.0,2004.0,,,5600.0,3,140378102,0,33.088338,2,3,31,2,1,5,1,1,2100.0,,,,,,167.0,36.0,339269.0,7395448.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,37.49346,6.0,6,167.0,36.0,339547.0,7395040.0,167.0,36.0,339269.0,7395448.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,50.0,,13.0,0.0,,10.0,16.0,3.0,,,,1.0,,,493.71,3766
4594,17,36,334647,7395633,170068,0,19.068493,68,1,16082017,1,1,1,2,1,1700681,0,19.068493,1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,2006.0,,,800.0,1,170068101,0,21.352846,1,1,40,1,1,4,1,1,800.0,,,,,,169.0,36.0,339983.0,7396724.0,2.0,2.0,5.0,13.0,1.0,,,,,,,,,,2.0,24.195596,6.0,4,169.0,36.0,339983.0,7396724.0,168.0,36.0,339737.0,7396698.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,247.37,4595
4595,17,36,334647,7395633,170068,0,19.068493,68,1,16082017,1,1,1,2,1,1700681,0,19.068493,1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,2006.0,,,800.0,1,170068101,0,21.352846,1,1,40,1,1,4,1,1,800.0,,,,,,169.0,36.0,339983.0,7396724.0,2.0,2.0,5.0,13.0,1.0,,,,,,,,,,3.0,24.195596,6.0,4,168.0,36.0,339737.0,7396698.0,169.0,36.0,339983.0,7396724.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,50.0,,13.0,0.0,,10.0,16.0,3.0,,,,1.0,,,247.37,4596
4908,17,36,334556,7395689,170381,0,19.068493,381,1,15082018,1,1,1,2,1,1703811,0,19.068493,1,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,3.0,29.0,,,,3391.41,3,170381101,0,22.01271,1,1,65,2,1,5,1,3,,,,,,,166.0,36.0,341168.0,7394271.0,2.0,2.0,4.0,13.0,3.0,,,,,,,,,,2.0,24.94331,6.0,5,166.0,36.0,341168.0,7394271.0,166.0,36.0,341208.0,7394112.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,163.95,4909
8361,27,36,332084,7392787,271647,0,48.105882,1647,1,23082018,1,1,1,1,1,2716471,0,48.105882,1,1,2,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,37.0,,,,3000.0,1,271647101,0,40.956565,1,1,76,2,1,5,2,1,3000.0,,,,,,27.0,36.0,332084.0,7392787.0,1.0,2.0,5.0,3.0,4.0,,,,,,,,,,2.0,46.409201,4.0,3,168.0,36.0,339143.0,7396170.0,167.0,36.0,339494.0,7394924.0,,,,,,,,,,,,,6.0,7.0,7.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,15.0,,15.0,16.0,3.0,,,,1.0,,,1294.49,8362
10336,30,36,331030,7395228,301493,0,52.898551,1493,1,11092018,1,1,1,2,1,3014931,0,52.898551,1,2,2,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,46.0,2017.0,2016.0,,10000.0,3,301493102,0,56.880561,2,2,49,2,1,5,1,3,,,,,,,166.0,36.0,340590.0,7394441.0,2.0,2.0,2.0,10.0,1.0,,,,,,,,,,2.0,64.453192,6.0,4,166.0,36.0,340590.0,7394441.0,167.0,36.0,340058.0,7394597.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,15.0,,15.0,16.0,3.0,,,,1.0,,,554.4,10337
10337,30,36,331030,7395228,301493,0,52.898551,1493,1,11092018,1,1,1,2,1,3014931,0,52.898551,1,2,2,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,1.0,46.0,2017.0,2016.0,,10000.0,3,301493102,0,56.880561,2,2,49,2,1,5,1,3,,,,,,,166.0,36.0,340590.0,7394441.0,2.0,2.0,2.0,10.0,1.0,,,,,,,,,,3.0,64.453192,6.0,4,167.0,36.0,340058.0,7394597.0,166.0,36.0,340590.0,7394441.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,55.0,,13.0,10.0,,15.0,16.0,3.0,,,,1.0,,,554.4,10338
10801,31,36,331130,7394404,311238,0,125.34,1238,1,5102018,1,1,1,2,1,3112381,0,125.34,1,2,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,46.0,2012.0,,,8493.02,3,311238102,0,113.168027,2,2,33,2,1,5,1,3,,,,,,,168.0,36.0,338966.0,7396368.0,2.0,2.0,2.0,13.0,3.0,,,,,,,,,,2.0,128.23433,5.0,4,168.0,36.0,338966.0,7396368.0,168.0,36.0,339047.0,7396370.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,81.02,10802
