,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
8538,27,36,331999,7392871,271943,0,48.105882,1943,1,6102018,1,1,1,4,1,2719431,0,48.105882,1,4,2,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,48.0,2016.0,,,9461.63,3,271943102,0,52.587423,2,2,49,1,1,5,1,3,,,,,,,124.0,36.0,328639.0,7403275.0,2.0,2.0,1.0,3.0,5.0,,,,,,,,,,4.0,59.5885,6.0,7,124.0,36.0,328639.0,7403275.0,124.0,36.0,328679.0,7403321.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,60.96,8539
8539,27,36,331999,7392871,271943,0,48.105882,1943,1,6102018,1,1,1,4,1,2719431,0,48.105882,1,4,2,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,48.0,2016.0,,,9461.63,3,271943102,0,52.587423,2,2,49,1,1,5,1,3,,,,,,,124.0,36.0,328639.0,7403275.0,2.0,2.0,1.0,3.0,5.0,,,,,,,,,,5.0,59.5885,6.0,7,124.0,36.0,328679.0,7403321.0,124.0,36.0,328639.0,7403275.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,42.0,,2.0,16.0,3.0,,,,1.0,,,60.96,8540
26622,67,36,329664,7389650,671350,0,62.926471,1350,1,13102018,1,1,1,3,1,6713501,0,62.926471,1,3,2,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,1.0,53.0,2017.0,2016.0,,12394.4,3,671350101,0,70.996041,1,1,37,1,1,5,1,3,,,,,,,127.0,36.0,327323.0,7400934.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,2.0,80.447896,4.0,4,127.0,36.0,327323.0,7400934.0,126.0,36.0,327821.0,7402382.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,15.0,,15.0,16.0,3.0,,,,1.0,,,1531.24,26623
26623,67,36,329664,7389650,671350,0,62.926471,1350,1,13102018,1,1,1,3,1,6713501,0,62.926471,1,3,2,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,1.0,53.0,2017.0,2016.0,,12394.4,3,671350101,0,70.996041,1,1,37,1,1,5,1,3,,,,,,,127.0,36.0,327323.0,7400934.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,3.0,80.447896,4.0,4,126.0,36.0,327821.0,7402382.0,127.0,36.0,327323.0,7400934.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,55.0,,13.0,10.0,,15.0,16.0,3.0,,,,1.0,,,1531.24,26624
36666,85,36,329710,7395916,850721,0,16.401786,721,1,14102018,1,1,1,1,1,8507211,0,16.401786,1,1,2,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,1.0,57.0,2010.0,2003.0,,15382.72,3,850721101,0,20.903866,1,1,46,1,1,5,1,3,,,,,,,110.0,36.0,325188.0,7401239.0,2.0,1.0,1.0,4.0,7.0,,,,,,,,,,2.0,23.686843,4.0,4,110.0,36.0,325188.0,7401239.0,110.0,36.0,324856.0,7401087.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,365.14,36667
36667,85,36,329710,7395916,850721,0,16.401786,721,1,14102018,1,1,1,1,1,8507211,0,16.401786,1,1,2,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,1.0,57.0,2010.0,2003.0,,15382.72,3,850721101,0,20.903866,1,1,46,1,1,5,1,3,,,,,,,110.0,36.0,325188.0,7401239.0,2.0,1.0,1.0,4.0,7.0,,,,,,,,,,3.0,23.686843,4.0,4,110.0,36.0,324856.0,7401087.0,110.0,36.0,325188.0,7401239.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,25.0,,13.0,30.0,,5.0,16.0,3.0,,,,1.0,,,365.14,36668
37963,87,36,328170,7395308,871446,0,27.495935,1446,1,21022018,1,1,1,3,1,8714461,0,27.495935,1,3,2,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,40.0,2011.0,2011.0,,6142.58,3,871446101,0,26.831048,1,1,65,1,1,4,1,3,,,,,,,113.0,36.0,323405.0,7398914.0,2.0,2.0,6.0,3.0,1.0,,,,,,,,,,2.0,30.403123,6.0,4,113.0,36.0,323405.0,7398914.0,113.0,36.0,323469.0,7398842.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,3.0,,3.0,16.0,3.0,,,,1.0,,,96.33,37964
37964,87,36,328170,7395308,871446,0,27.495935,1446,1,21022018,1,1,1,3,1,8714461,0,27.495935,1,3,2,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,40.0,2011.0,2011.0,,6142.58,3,871446101,0,26.831048,1,1,65,1,1,4,1,3,,,,,,,113.0,36.0,323405.0,7398914.0,2.0,2.0,6.0,3.0,1.0,,,,,,,,,,3.0,30.403123,6.0,4,113.0,36.0,323469.0,7398842.0,113.0,36.0,323405.0,7398914.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,3.0,,3.0,16.0,3.0,,,,1.0,,,96.33,37965
39894,90,36,327854,7396897,901088,0,59.758559,1088,1,21052018,1,1,1,2,1,9010881,0,59.758559,1,2,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,33.0,2006.0,,,4209.08,3,901088101,0,54.297211,1,1,52,1,1,5,1,3,,,,,,,116.0,36.0,323851.0,7405944.0,2.0,2.0,2.0,11.0,3.0,,,,,,,,,,2.0,61.525915,3.0,4,116.0,36.0,323851.0,7405944.0,116.0,36.0,322559.0,7405238.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,5.0,,12.0,20.0,,15.0,16.0,3.0,,,,1.0,,,1472.31,39895
39895,90,36,327854,7396897,901088,0,59.758559,1088,1,21052018,1,1,1,2,1,9010881,0,59.758559,1,2,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,33.0,2006.0,,,4209.08,3,901088101,0,54.297211,1,1,52,1,1,5,1,3,,,,,,,116.0,36.0,323851.0,7405944.0,2.0,2.0,2.0,11.0,3.0,,,,,,,,,,3.0,61.525915,3.0,4,116.0,36.0,322559.0,7405238.0,116.0,36.0,323851.0,7405944.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,35.0,,12.0,50.0,,15.0,16.0,3.0,,,,1.0,,,1472.31,39896
