,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
98,1,36,332861,7394724,10031,0,30.038462,31,1,6092017,1,1,1,2,1,100311,0,30.038462,1,2,1,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,3.0,29.0,2009.0,,,3391.41,3,10031101,0,32.519565,1,1,23,1,5,4,1,3,,23.0,36.0,332822.0,7393084.0,2.0,144.0,36.0,333371.0,7402094.0,2.0,2.0,11.0,10.0,2.0,,,,,,,,,,2.0,36.848965,5.0,4,144.0,36.0,333371.0,7402094.0,134.0,36.0,333315.0,7401429.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,667.35,99
99,1,36,332861,7394724,10031,0,30.038462,31,1,6092017,1,1,1,2,1,100311,0,30.038462,1,2,1,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,3.0,29.0,2009.0,,,3391.41,3,10031101,0,32.519565,1,1,23,1,5,4,1,3,,23.0,36.0,332822.0,7393084.0,2.0,144.0,36.0,333371.0,7402094.0,2.0,2.0,11.0,10.0,2.0,,,,,,,,,,3.0,36.848965,5.0,4,134.0,36.0,333315.0,7401429.0,144.0,36.0,333371.0,7402094.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,45.0,,12.0,50.0,,5.0,16.0,3.0,,,,1.0,,,667.35,100
254,2,36,333381,7396181,20019,0,34.678571,19,1,8062018,1,1,1,1,1,200191,0,34.678571,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,17.0,,,,1800.0,1,20019101,0,40.193092,1,1,48,2,1,4,1,1,1800.0,,,,,,136.0,36.0,330524.0,7398876.0,2.0,2.0,4.0,4.0,1.0,,,,,,,,,,2.0,45.544085,5.0,3,136.0,36.0,330524.0,7398876.0,136.0,36.0,330445.0,7398723.0,,,,,,,,,,,,,2.0,7.0,7.0,2.0,2.0,16.0,,,,17.0,30.0,,17.0,40.0,,10.0,16.0,3.0,,,,1.0,,,172.19,255
279,2,36,333381,7396181,20312,0,34.678571,312,1,15062018,1,1,1,2,1,203121,0,34.678571,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,3.0,32.0,,,,6000.0,1,20312101,0,40.193092,1,1,50,2,1,5,1,1,6000.0,,,,,,129.0,36.0,334101.0,7400016.0,2.0,2.0,2.0,11.0,3.0,131.0,36.0,333964.0,7398689.0,2.0,2.0,2.0,11.0,3.0,3.0,45.544085,5.0,5,129.0,36.0,334101.0,7400016.0,131.0,36.0,333964.0,7398689.0,,,,,,,,,,,,,3.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,30.0,,12.0,45.0,,15.0,16.0,3.0,,,,7.0,,,1334.05,280
1605,7,36,333556,7396962,70789,0,200.0,789,1,20092017,1,1,1,2,1,707891,0,200.0,1,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,1995.0,,,1600.0,1,70789101,0,185.644831,1,1,27,1,1,4,1,1,1600.0,,,,,,9.0,36.0,333870.0,7396887.0,2.0,2.0,5.0,9.0,1.0,,,,,,,,,,3.0,210.360126,3.0,6,129.0,36.0,334018.0,7400108.0,129.0,36.0,334301.0,7399860.0,,,,,,,,,,,,,10.0,5.0,5.0,2.0,2.0,16.0,,,,12.0,35.0,,12.0,45.0,,10.0,16.0,3.0,,,,1.0,,,376.29,1606
1611,7,36,333556,7396962,70789,0,200.0,789,1,20092017,1,1,1,2,1,707891,0,200.0,1,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,17.0,1995.0,,,1600.0,1,70789102,0,185.644831,2,2,22,2,1,4,7,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,210.360126,3.0,4,129.0,36.0,334018.0,7400108.0,129.0,36.0,334301.0,7399860.0,,,,,,,,,,,,,10.0,5.0,5.0,2.0,2.0,16.0,,,,12.0,35.0,,12.0,45.0,,10.0,16.0,3.0,,,,1.0,,,376.29,1612
1642,7,36,332464,7397296,70836,0,200.0,836,1,16052018,1,1,1,3,1,708361,0,200.0,1,3,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,27.0,,,,4100.0,1,70836101,0,206.928233,1,1,32,2,1,5,1,1,1700.0,,,,,,135.0,36.0,334697.0,7401424.0,2.0,2.0,2.0,7.0,1.0,,,,,,,,,,2.0,234.477033,4.0,6,135.0,36.0,334697.0,7401424.0,135.0,36.0,334952.0,7400884.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,597.18,1643
1643,7,36,332464,7397296,70836,0,200.0,836,1,16052018,1,1,1,3,1,708361,0,200.0,1,3,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,27.0,,,,4100.0,1,70836101,0,206.928233,1,1,32,2,1,5,1,1,1700.0,,,,,,135.0,36.0,334697.0,7401424.0,2.0,2.0,2.0,7.0,1.0,,,,,,,,,,3.0,234.477033,4.0,6,135.0,36.0,334952.0,7400884.0,135.0,36.0,334697.0,7401424.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,45.0,,5.0,16.0,3.0,,,,1.0,,,597.18,1644
1869,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,3.0,38.12384,6.0,6,136.0,36.0,330048.0,7399118.0,136.0,36.0,329947.0,7399201.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,15.0,,13.0,20.0,,5.0,16.0,3.0,,,,1.0,,,130.73,1870
1870,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,4.0,38.12384,6.0,6,136.0,36.0,329947.0,7399201.0,136.0,36.0,330048.0,7399118.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,10.0,,10.0,16.0,3.0,,,,1.0,,,130.73,1871
1871,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,5.0,38.12384,6.0,6,136.0,36.0,330048.0,7399118.0,136.0,36.0,329947.0,7399201.0,,,,,,,,,,,,,3.0,7.0,7.0,2.0,2.0,16.0,,,,19.0,50.0,,19.0,53.0,,3.0,16.0,3.0,,,,1.0,,,130.73,1872
2124,8,36,332086,7398037,81589,0,80.6875,1589,1,7042018,1,1,1,7,1,815891,0,80.6875,1,7,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,4.0,28.0,,,,3213.13,3,81589105,1,73.712947,5,3,14,1,3,2,8,2,0.0,136.0,36.0,331487.0,7398887.0,1.0,,,,,,,,,,,,,,,,,,,1.0,83.52651,6.0,2,8.0,36.0,332086.0,7398037.0,136.0,36.0,331487.0,7398887.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,12.0,50.0,,13.0,30.0,,40.0,16.0,3.0,,,,8.0,,,1039.86,2125
2242,9,36,334002,7397148,90029,0,70.73913,29,1,24112017,1,1,1,3,1,900291,0,70.73913,1,3,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,29.0,,,,3500.0,1,90029102,0,81.433581,2,5,50,1,1,4,1,1,2500.0,,,,,,164.0,36.0,336600.0,7398414.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,,2.0,92.275009,5.0,4,164.0,36.0,336600.0,7398414.0,164.0,36.0,336038.0,7398099.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,15.0,0.0,,15.0,10.0,,10.0,16.0,3.0,,,,1.0,,,644.26,2243
2243,9,36,334002,7397148,90029,0,70.73913,29,1,24112017,1,1,1,3,1,900291,0,70.73913,1,3,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,29.0,,,,3500.0,1,90029102,0,81.433581,2,5,50,1,1,4,1,1,2500.0,,,,,,164.0,36.0,336600.0,7398414.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,,3.0,92.275009,5.0,4,164.0,36.0,336038.0,7398099.0,164.0,36.0,336600.0,7398414.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,15.0,50.0,,16.0,0.0,,10.0,16.0,3.0,,,,1.0,,,644.26,2244
2340,9,36,333782,7397727,90599,0,70.73913,599,1,23092017,1,1,1,3,1,905991,0,70.73913,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,11.0,,,,2400.0,1,90599102,1,62.331789,2,3,23,1,1,3,1,1,1200.0,,,,,,165.0,36.0,334861.0,7398199.0,2.0,2.0,11.0,9.0,1.0,,,,,,,,,,1.0,70.630154,6.0,2,9.0,36.0,333782.0,7397727.0,165.0,36.0,334861.0,7398199.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,11.0,30.0,,11.0,50.0,,20.0,16.0,3.0,,,,1.0,,,1177.72,2341
2342,9,36,333782,7397727,90599,0,70.73913,599,1,23092017,1,1,1,3,1,905991,0,70.73913,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,11.0,,,,2400.0,1,90599103,1,62.331789,3,3,21,1,1,3,1,1,1200.0,,,,,,165.0,36.0,334861.0,7398199.0,2.0,2.0,5.0,9.0,1.0,,,,,,,,,,1.0,70.630154,6.0,2,9.0,36.0,333782.0,7397727.0,165.0,36.0,334861.0,7398199.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,20.0,,20.0,16.0,3.0,,,,1.0,,,1177.72,2343
