,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
8248,27,36,331943,7393276,271444,0,48.105882,1444,1,14062018,1,1,1,1,1,2714441,0,48.105882,1,1,2,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,35.0,2016.0,,,4689.12,3,271444101,0,52.587423,1,1,58,1,1,5,1,3,,,,,,,339.0,36.0,325116.0,7392487.0,2.0,2.0,2.0,11.0,1.0,,,,,,,,,,2.0,59.5885,4.0,6,339.0,36.0,325116.0,7392487.0,339.0,36.0,324981.0,7392472.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,5.0,,5.0,16.0,3.0,,,,1.0,,,135.83,8249
8249,27,36,331943,7393276,271444,0,48.105882,1444,1,14062018,1,1,1,1,1,2714441,0,48.105882,1,1,2,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,35.0,2016.0,,,4689.12,3,271444101,0,52.587423,1,1,58,1,1,5,1,3,,,,,,,339.0,36.0,325116.0,7392487.0,2.0,2.0,2.0,11.0,1.0,,,,,,,,,,3.0,59.5885,4.0,6,339.0,36.0,324981.0,7392472.0,339.0,36.0,325116.0,7392487.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,5.0,,5.0,16.0,3.0,,,,1.0,,,135.83,8250
10513,31,36,331481,7395239,310080,0,26.025641,80,1,31082017,1,1,1,2,1,3100801,0,26.025641,1,2,1,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1,2.0,42.0,2007.0,,,3800.0,1,310080101,0,26.435038,1,1,52,1,1,5,1,1,3800.0,,,,,,340.0,36.0,325079.0,7391605.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,29.954391,4.0,4,340.0,36.0,325079.0,7391605.0,341.0,36.0,325063.0,7391581.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,28.84,10514
10514,31,36,331481,7395239,310080,0,26.025641,80,1,31082017,1,1,1,2,1,3100801,0,26.025641,1,2,1,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1,2.0,42.0,2007.0,,,3800.0,1,310080101,0,26.435038,1,1,52,1,1,5,1,1,3800.0,,,,,,340.0,36.0,325079.0,7391605.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,29.954391,4.0,4,341.0,36.0,325063.0,7391581.0,340.0,36.0,325079.0,7391605.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,58.0,,13.0,0.0,,2.0,16.0,3.0,,,,1.0,,,28.84,10515
10729,31,36,331149,7394306,310987,0,125.34,987,1,5092018,1,1,1,3,1,3109871,0,125.34,1,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,23.0,,,,2452.84,3,310987102,0,86.435613,2,4,20,1,5,4,1,1,850.0,339.0,36.0,323481.0,7393448.0,1.0,339.0,36.0,322299.0,7393441.0,2.0,2.0,11.0,11.0,2.0,,,,,,,,,,2.0,97.942972,3.0,5,339.0,36.0,322299.0,7393441.0,339.0,36.0,323481.0,7393448.0,,,,,,,,,,,,,3.0,4.0,4.0,2.0,2.0,16.0,,,,13.0,30.0,,13.0,50.0,,20.0,16.0,3.0,,,,1.0,,,1182.02,10730
10730,31,36,331149,7394306,310987,0,125.34,987,1,5092018,1,1,1,3,1,3109871,0,125.34,1,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,23.0,,,,2452.84,3,310987102,0,86.435613,2,4,20,1,5,4,1,1,850.0,339.0,36.0,323481.0,7393448.0,1.0,339.0,36.0,322299.0,7393441.0,2.0,2.0,11.0,11.0,2.0,,,,,,,,,,3.0,97.942972,3.0,5,339.0,36.0,323481.0,7393448.0,339.0,36.0,323528.0,7393259.0,,,,,,,,,,,,,4.0,10.0,10.0,2.0,2.0,16.0,,,,19.0,0.0,,19.0,5.0,,5.0,16.0,3.0,,,,1.0,,,194.76,10731
11013,32,36,330110,7394007,320400,0,94.206897,400,1,22092018,1,1,1,2,1,3204001,0,94.206897,1,2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,24.0,,,,2800.0,3,320400101,0,56.698066,1,1,28,1,5,4,1,1,2800.0,339.0,36.0,323528.0,7393259.0,1.0,339.0,36.0,323528.0,7393259.0,2.0,2.0,4.0,11.0,1.0,,,,,,,,,,2.0,64.246401,6.0,4,339.0,36.0,323528.0,7393259.0,339.0,36.0,322684.0,7392655.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,1037.86,11014
11014,32,36,330110,7394007,320400,0,94.206897,400,1,22092018,1,1,1,2,1,3204001,0,94.206897,1,2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,24.0,,,,2800.0,3,320400101,0,56.698066,1,1,28,1,5,4,1,1,2800.0,339.0,36.0,323528.0,7393259.0,1.0,339.0,36.0,323528.0,7393259.0,2.0,2.0,4.0,11.0,1.0,,,,,,,,,,3.0,64.246401,6.0,4,339.0,36.0,322684.0,7392655.0,339.0,36.0,323528.0,7393259.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,30.0,,13.0,40.0,,10.0,16.0,3.0,,,,1.0,,,1037.86,11015
11145,32,36,330893,7394396,321355,0,94.206897,1355,1,5102018,1,1,1,2,1,3213551,0,94.206897,1,2,1,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,2.0,42.0,,,,15000.0,1,321355101,0,81.941598,1,1,30,1,1,5,1,1,9000.0,,,,,,340.0,36.0,326152.0,7392125.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,2.0,92.850659,6.0,4,340.0,36.0,326152.0,7392125.0,340.0,36.0,326037.0,7392102.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,117.28,11146
11146,32,36,330893,7394396,321355,0,94.206897,1355,1,5102018,1,1,1,2,1,3213551,0,94.206897,1,2,1,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,2.0,42.0,,,,15000.0,1,321355101,0,81.941598,1,1,30,1,1,5,1,1,9000.0,,,,,,340.0,36.0,326152.0,7392125.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,3.0,92.850659,6.0,4,340.0,36.0,326037.0,7392102.0,340.0,36.0,326152.0,7392125.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,50.0,,12.0,55.0,,5.0,16.0,3.0,,,,1.0,,,117.28,11147
