,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
1654,7,36,333433,7396262,70840,0,200.0,840,1,19052018,1,1,1,2,1,708401,0,200.0,1,2,2,,,,,,,,,,,,,,,0,,,,,,4050.34,4,70840101,0,206.928233,1,1,33,1,5,5,1,3,,79.0,36.0,330710.0,7393408.0,2.0,59.0,36.0,333934.0,7386971.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,2.0,234.477033,6.0,4,59.0,36.0,333934.0,7386971.0,250.0,36.0,334032.0,7386923.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,109.12,1655
5563,19,36,334895,7391865,190567,1,138.763158,567,1,3062018,1,1,1,6,1,1905671,1,138.763158,1,6,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,5.0,21.0,2000.0,,,2201.73,3,190567101,1,113.179293,1,1,50,2,1,3,1,3,,,,,,,19.0,36.0,334895.0,7391865.0,3.0,1.0,6.0,4.0,4.0,,,,,,,,,,1.0,128.247095,2.0,2,19.0,36.0,334895.0,7391865.0,240.0,36.0,335364.0,7392134.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,1.0,16.0,,,,7.0,50.0,,8.0,0.0,,10.0,16.0,3.0,,,,1.0,,,540.67,5564
5573,19,36,334895,7391865,190567,0,138.763158,567,1,3062018,1,1,1,6,1,1905671,0,138.763158,1,6,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,5.0,21.0,2000.0,,,2201.73,3,190567105,1,183.770397,5,4,4,1,2,1,6,2,0.0,240.0,36.0,335364.0,7392134.0,1.0,,,,,,,,,,,,,,,,,,,1.0,208.236145,2.0,2,19.0,36.0,334895.0,7391865.0,240.0,36.0,335364.0,7392134.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,7.0,50.0,,8.0,0.0,,10.0,16.0,3.0,,,,1.0,,,540.67,5574
5575,19,36,334895,7391865,190567,0,138.763158,567,1,3062018,1,1,1,6,1,1905671,0,138.763158,1,6,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,5.0,21.0,2000.0,,,2201.73,3,190567106,1,183.770397,6,4,2,1,2,1,6,2,0.0,240.0,36.0,335364.0,7392134.0,1.0,,,,,,,,,,,,,,,,,,,1.0,208.236145,2.0,2,19.0,36.0,334895.0,7391865.0,240.0,36.0,335364.0,7392134.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,7.0,50.0,,8.0,0.0,,10.0,16.0,3.0,,,,1.0,,,540.67,5576
5596,19,36,334663,7392066,190732,0,138.763158,732,1,9062018,1,1,1,4,1,1907321,0,138.763158,1,4,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1,4.0,28.0,,,,3213.13,3,190732103,1,174.706522,3,3,14,1,3,2,8,2,0.0,240.0,36.0,335514.0,7392005.0,1.0,,,,,,,,,,,,,,,,,,,1.0,197.965577,6.0,2,19.0,36.0,334663.0,7392066.0,240.0,36.0,335514.0,7392005.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,12.0,30.0,,13.0,0.0,,30.0,16.0,3.0,,,,1.0,,,853.18,5597
5713,20,36,334158,7393439,200014,0,441.0,14,1,7032018,1,1,1,4,1,2000141,0,441.0,1,4,1,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,26.0,1997.0,,,8000.0,1,200014104,0,412.84334,4,3,35,1,5,4,1,1,2500.0,23.0,36.0,332748.0,7393094.0,2.0,20.0,36.0,334158.0,7393439.0,3.0,2.0,5.0,4.0,1.0,,,,,,,,,,2.0,467.80606,3.0,4,237.0,36.0,336716.0,7389173.0,236.0,36.0,336625.0,7390242.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,15.0,,15.0,16.0,3.0,,,,1.0,,,1072.87,5714
5714,20,36,334158,7393439,200014,0,441.0,14,1,7032018,1,1,1,4,1,2000141,0,441.0,1,4,1,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,26.0,1997.0,,,8000.0,1,200014104,0,412.84334,4,3,35,1,5,4,1,1,2500.0,23.0,36.0,332748.0,7393094.0,2.0,20.0,36.0,334158.0,7393439.0,3.0,2.0,5.0,4.0,1.0,,,,,,,,,,3.0,467.80606,3.0,4,236.0,36.0,336625.0,7390242.0,237.0,36.0,336716.0,7389173.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,15.0,20.0,,15.0,35.0,,15.0,16.0,3.0,,,,1.0,,,1072.87,5715
5941,20,36,334222,7392679,200910,0,176.875,910,1,19052018,1,1,1,3,1,2009101,0,176.875,1,3,1,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1,3.0,34.0,2001.0,,,3800.0,1,200910102,0,233.693129,2,3,13,1,3,2,8,2,0.0,247.0,36.0,336139.0,7385394.0,2.0,,,,,,,,,,,,,,,,,,,2.0,264.805197,6.0,2,247.0,36.0,336139.0,7385394.0,247.0,36.0,336221.0,7385301.0,,,,,,,,,,,,,4.0,7.0,7.0,2.0,2.0,16.0,,,,12.0,30.0,,12.0,33.0,,3.0,16.0,3.0,,,,1.0,,,123.99,5942
10160,30,36,331237,7394982,300843,0,52.898551,843,1,30092018,1,1,1,4,1,3008431,0,52.898551,1,4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,29.0,2012.0,,,4200.0,3,300843102,0,41.428519,2,5,26,1,1,5,1,3,,,,,,,255.0,36.0,339783.0,7389969.0,2.0,2.0,2.0,4.0,1.0,,,,,,,,,,2.0,46.943987,4.0,4,255.0,36.0,339783.0,7389969.0,255.0,36.0,339401.0,7389825.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,10.0,,12.0,20.0,,10.0,16.0,3.0,,,,1.0,,,408.24,10161
10161,30,36,331237,7394982,300843,0,52.898551,843,1,30092018,1,1,1,4,1,3008431,0,52.898551,1,4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,3.0,29.0,2012.0,,,4200.0,3,300843102,0,41.428519,2,5,26,1,1,5,1,3,,,,,,,255.0,36.0,339783.0,7389969.0,2.0,2.0,2.0,4.0,1.0,,,,,,,,,,3.0,46.943987,4.0,4,255.0,36.0,339401.0,7389825.0,255.0,36.0,339783.0,7389969.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,12.0,55.0,,13.0,5.0,,10.0,16.0,3.0,,,,1.0,,,408.24,10162
