,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
401,2,36,333554,7395245,20803,0,68.75,803,1,12052018,1,1,1,3,1,208031,0,68.75,1,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,,,,3579.58,3,20803102,0,83.311093,2,4,49,2,1,4,1,3,,,,,,,300.0,36.0,325310.0,7385366.0,2.0,2.0,5.0,12.0,1.0,,,,,,,,,,2.0,94.402477,6.0,4,300.0,36.0,325310.0,7385366.0,300.0,36.0,325106.0,7385518.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,8.0,,,254.4,402
402,2,36,333554,7395245,20803,0,68.75,803,1,12052018,1,1,1,3,1,208031,0,68.75,1,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,,,,3579.58,3,20803102,0,83.311093,2,4,49,2,1,4,1,3,,,,,,,300.0,36.0,325310.0,7385366.0,2.0,2.0,5.0,12.0,1.0,,,,,,,,,,3.0,94.402477,6.0,4,300.0,36.0,325106.0,7385518.0,300.0,36.0,325310.0,7385366.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,10.0,,10.0,16.0,3.0,,,,8.0,,,254.4,403
1986,8,36,332506,7397396,80538,0,80.6875,538,1,7042018,1,1,1,5,1,805381,0,80.6875,1,5,2,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,41.0,2012.0,,,7500.0,3,80538101,0,73.355868,1,1,37,1,1,5,1,1,7500.0,,,,,,300.0,36.0,325498.0,7385926.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,83.121892,6.0,4,300.0,36.0,325498.0,7385926.0,300.0,36.0,326089.0,7385541.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,705.34,1987
1987,8,36,332506,7397396,80538,0,80.6875,538,1,7042018,1,1,1,5,1,805381,0,80.6875,1,5,2,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,41.0,2012.0,,,7500.0,3,80538101,0,73.355868,1,1,37,1,1,5,1,1,7500.0,,,,,,300.0,36.0,325498.0,7385926.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,83.121892,6.0,4,300.0,36.0,326089.0,7385541.0,300.0,36.0,325498.0,7385926.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,55.0,,13.0,0.0,,5.0,16.0,3.0,,,,1.0,,,705.34,1988
6353,21,36,333460,7392598,211231,0,75.117647,1231,1,11042018,1,1,1,3,1,2112311,0,75.117647,1,3,2,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.0,40.0,2016.0,,,6142.58,3,211231103,0,97.531823,3,3,23,1,1,5,1,3,,,,,,,300.0,36.0,326893.0,7386514.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,110.516444,6.0,4,300.0,36.0,326893.0,7386514.0,300.0,36.0,326728.0,7386470.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,3.0,,3.0,16.0,3.0,,,,1.0,,,170.77,6354
6354,21,36,333460,7392598,211231,0,75.117647,1231,1,11042018,1,1,1,3,1,2112311,0,75.117647,1,3,2,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.0,40.0,2016.0,,,6142.58,3,211231103,0,97.531823,3,3,23,1,1,5,1,3,,,,,,,300.0,36.0,326893.0,7386514.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,110.516444,6.0,4,300.0,36.0,326728.0,7386470.0,300.0,36.0,326893.0,7386514.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,50.0,,12.0,53.0,,3.0,16.0,3.0,,,,1.0,,,170.77,6355
6762,22,36,333121,7392565,221708,0,42.567568,1708,1,1062018,1,1,1,2,1,2217081,0,42.567568,1,2,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.0,39.0,2004.0,,,5819.68,3,221708102,0,59.241597,2,2,30,1,1,5,1,3,,,,,,,300.0,36.0,326280.0,7386420.0,2.0,2.0,2.0,14.0,4.0,,,,,,,,,,2.0,67.128558,5.0,4,300.0,36.0,326280.0,7386420.0,300.0,36.0,326728.0,7386470.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,7.0,,7.0,16.0,3.0,,,,1.0,,,450.78,6763
6763,22,36,333121,7392565,221708,0,42.567568,1708,1,1062018,1,1,1,2,1,2217081,0,42.567568,1,2,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2.0,39.0,2004.0,,,5819.68,3,221708102,0,59.241597,2,2,30,1,1,5,1,3,,,,,,,300.0,36.0,326280.0,7386420.0,2.0,2.0,2.0,14.0,4.0,,,,,,,,,,3.0,67.128558,5.0,4,300.0,36.0,326728.0,7386470.0,300.0,36.0,326280.0,7386420.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,14.0,50.0,,14.0,58.0,,8.0,16.0,3.0,,,,1.0,,,450.78,6764
6936,23,36,332715,7392605,230015,0,47.459459,15,1,6032018,1,1,1,2,1,2300151,0,47.459459,1,2,2,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,37.0,2011.0,,,5223.9,3,230015101,0,49.561385,1,1,47,1,1,5,1,3,,,,,,,303.0,36.0,325434.0,7383200.0,2.0,2.0,2.0,7.0,1.0,,,,,,,,,,2.0,56.159599,4.0,5,303.0,36.0,325434.0,7383200.0,303.0,36.0,325017.0,7383131.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,5.0,,13.0,10.0,,5.0,16.0,3.0,,,,1.0,,,422.67,6937
6937,23,36,332715,7392605,230015,0,47.459459,15,1,6032018,1,1,1,2,1,2300151,0,47.459459,1,2,2,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,37.0,2011.0,,,5223.9,3,230015101,0,49.561385,1,1,47,1,1,5,1,3,,,,,,,303.0,36.0,325434.0,7383200.0,2.0,2.0,2.0,7.0,1.0,,,,,,,,,,3.0,56.159599,4.0,5,303.0,36.0,325017.0,7383131.0,303.0,36.0,325434.0,7383200.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,50.0,,13.0,55.0,,5.0,16.0,3.0,,,,1.0,,,422.67,6938
