,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
5548,19,36,334532,7392227,190547,0,138.763158,547,1,7062018,1,1,1,3,1,1905471,0,138.763158,1,3,2,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2.0,42.0,2017.0,,,9000.0,1,190547102,0,113.179293,2,3,31,1,1,5,1,1,3000.0,,,,,,274.0,36.0,332662.0,7383932.0,2.0,2.0,2.0,4.0,1.0,,,,,,,,,,2.0,128.247095,6.0,4,274.0,36.0,332662.0,7383932.0,275.0,36.0,332827.0,7383790.0,,,,,,,,,,,,,2.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,6.0,,6.0,16.0,3.0,,,,1.0,,,217.69,5549
5549,19,36,334532,7392227,190547,0,138.763158,547,1,7062018,1,1,1,3,1,1905471,0,138.763158,1,3,2,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2.0,42.0,2017.0,,,9000.0,1,190547102,0,113.179293,2,3,31,1,1,5,1,1,3000.0,,,,,,274.0,36.0,332662.0,7383932.0,2.0,2.0,2.0,4.0,1.0,,,,,,,,,,3.0,128.247095,6.0,4,275.0,36.0,332827.0,7383790.0,274.0,36.0,332662.0,7383932.0,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,16.0,,,,13.0,50.0,,13.0,56.0,,6.0,16.0,3.0,,,,1.0,,,217.69,5550
5815,20,36,333581,7393174,200453,0,233.6,453,1,17032018,1,1,1,2,1,2004531,0,233.6,1,2,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,3.0,30.0,,,,8700.0,1,200453101,0,247.821676,1,1,28,1,1,5,1,1,5800.0,,,,,,275.0,36.0,332633.0,7385109.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,2.0,280.814708,6.0,4,275.0,36.0,332633.0,7385109.0,275.0,36.0,332686.0,7385330.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,227.27,5816
5816,20,36,333581,7393174,200453,0,233.6,453,1,17032018,1,1,1,2,1,2004531,0,233.6,1,2,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,3.0,30.0,,,,8700.0,1,200453101,0,247.821676,1,1,28,1,1,5,1,1,5800.0,,,,,,275.0,36.0,332633.0,7385109.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,3.0,280.814708,6.0,4,275.0,36.0,332686.0,7385330.0,275.0,36.0,332633.0,7385109.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,50.0,,12.0,55.0,,5.0,16.0,3.0,,,,1.0,,,227.27,5817
8164,27,36,331911,7393031,270441,0,154.217391,441,1,20092018,1,1,1,3,1,2704411,0,154.217391,1,3,2,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,2.0,44.0,2012.0,2016.0,,15000.0,3,270441103,0,80.389823,3,3,25,1,1,5,1,1,5000.0,,,,,,275.0,36.0,333151.0,7385529.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,2.0,91.092293,3.0,4,275.0,36.0,333151.0,7385529.0,275.0,36.0,333248.0,7385525.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,97.08,8165
8165,27,36,331911,7393031,270441,0,154.217391,441,1,20092018,1,1,1,3,1,2704411,0,154.217391,1,3,2,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,2.0,44.0,2012.0,2016.0,,15000.0,3,270441103,0,80.389823,3,3,25,1,1,5,1,1,5000.0,,,,,,275.0,36.0,333151.0,7385529.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,3.0,91.092293,3.0,4,275.0,36.0,333248.0,7385525.0,275.0,36.0,333151.0,7385529.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,55.0,,14.0,0.0,,5.0,16.0,3.0,,,,1.0,,,97.08,8166
8443,27,36,332074,7392775,271733,0,48.105882,1733,1,21092018,1,1,1,3,1,2717331,0,48.105882,1,3,1,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,38.0,,,,5513.75,3,271733101,0,27.113992,1,1,24,1,1,5,1,3,,,,,,,274.0,36.0,332596.0,7385049.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,2.0,30.723736,6.0,4,274.0,36.0,332596.0,7385049.0,275.0,36.0,332626.0,7385089.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,43.0,,3.0,16.0,3.0,,,,1.0,,,50.0,8444
8444,27,36,332074,7392775,271733,0,48.105882,1733,1,21092018,1,1,1,3,1,2717331,0,48.105882,1,3,1,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,38.0,,,,5513.75,3,271733101,0,27.113992,1,1,24,1,1,5,1,3,,,,,,,274.0,36.0,332596.0,7385049.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,3.0,30.723736,6.0,4,275.0,36.0,332626.0,7385089.0,274.0,36.0,332596.0,7385049.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,40.0,,13.0,43.0,,3.0,16.0,3.0,,,,1.0,,,50.0,8445
8876,28,36,331552,7393616,280506,0,71.5,506,1,7092018,1,1,1,2,1,2805061,0,71.5,1,2,1,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,2.0,39.0,,,,5819.68,3,280506102,0,52.902387,2,4,27,1,1,5,1,3,,,,,,,274.0,36.0,332596.0,7385049.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,2.0,59.945396,5.0,4,274.0,36.0,332596.0,7385049.0,274.0,36.0,332416.0,7385222.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,249.66,8877
8877,28,36,331552,7393616,280506,0,71.5,506,1,7092018,1,1,1,2,1,2805061,0,71.5,1,2,1,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,2.0,39.0,,,,5819.68,3,280506102,0,52.902387,2,4,27,1,1,5,1,3,,,,,,,274.0,36.0,332596.0,7385049.0,2.0,2.0,4.0,7.0,1.0,,,,,,,,,,3.0,59.945396,5.0,4,274.0,36.0,332416.0,7385222.0,274.0,36.0,332596.0,7385049.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,50.0,,12.0,55.0,,5.0,16.0,3.0,,,,1.0,,,249.66,8878
