,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
150,1,36,333745,7394553,10309,0,15.416667,309,1,11032018,1,1,1,2,1,103091,0,15.416667,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,4.0,27.0,,,,2000.0,1,10309102,0,16.663976,2,3,26,2,1,5,1,1,2000.0,,,,,,78.0,36.0,330581.0,7392990.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,2.0,18.882487,6.0,4,78.0,36.0,330581.0,7392990.0,79.0,36.0,330363.0,7393501.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,555.56,151
151,1,36,333745,7394553,10309,0,15.416667,309,1,11032018,1,1,1,2,1,103091,0,15.416667,1,2,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,4.0,27.0,,,,2000.0,1,10309102,0,16.663976,2,3,26,2,1,5,1,1,2000.0,,,,,,78.0,36.0,330581.0,7392990.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,3.0,18.882487,6.0,4,79.0,36.0,330363.0,7393501.0,78.0,36.0,330581.0,7392990.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,30.0,,13.0,40.0,,10.0,16.0,3.0,,,,1.0,,,555.56,152
369,2,36,333788,7395873,20558,0,34.678571,558,1,18082018,1,1,1,1,1,205581,0,34.678571,1,1,2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1,4.0,23.0,,,,900.0,1,20558101,0,42.526117,1,1,29,1,1,3,1,1,900.0,,,,,,6.0,36.0,333121.0,7395498.0,2.0,2.0,9.0,14.0,1.0,,,,,,,,,,2.0,48.18771,6.0,4,78.0,36.0,329442.0,7392998.0,78.0,36.0,329805.0,7392704.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,30.0,,13.0,35.0,,5.0,16.0,3.0,,,,1.0,,,467.12,370
370,2,36,333788,7395873,20558,0,34.678571,558,1,18082018,1,1,1,1,1,205581,0,34.678571,1,1,2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1,4.0,23.0,,,,900.0,1,20558101,0,42.526117,1,1,29,1,1,3,1,1,900.0,,,,,,6.0,36.0,333121.0,7395498.0,2.0,2.0,9.0,14.0,1.0,,,,,,,,,,3.0,48.18771,6.0,4,78.0,36.0,329805.0,7392704.0,78.0,36.0,329442.0,7392998.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,14.0,15.0,,14.0,20.0,,5.0,16.0,3.0,,,,1.0,,,467.12,371
397,2,36,333554,7395245,20803,0,68.75,803,1,12052018,1,1,1,3,1,208031,0,68.75,1,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,,,,3579.58,3,20803101,0,83.311093,1,1,48,1,1,5,1,3,,,,,,,73.0,36.0,327943.0,7389499.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,94.402477,6.0,4,73.0,36.0,327943.0,7389499.0,73.0,36.0,327931.0,7389511.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,30.0,,12.0,35.0,,5.0,16.0,3.0,,,,1.0,,,16.97,398
398,2,36,333554,7395245,20803,0,68.75,803,1,12052018,1,1,1,3,1,208031,0,68.75,1,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,,,,3579.58,3,20803101,0,83.311093,1,1,48,1,1,5,1,3,,,,,,,73.0,36.0,327943.0,7389499.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,94.402477,6.0,4,73.0,36.0,327931.0,7389511.0,73.0,36.0,327943.0,7389499.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,30.0,,13.0,35.0,,5.0,16.0,3.0,,,,1.0,,,16.97,399
641,3,36,333648,7394266,30782,0,129.971429,782,1,21042018,1,1,1,1,1,307821,0,129.971429,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,23.0,,,,2100.0,1,30782101,0,137.954139,1,1,22,2,5,4,1,1,2100.0,24.0,36.0,332972.0,7393810.0,2.0,73.0,36.0,327448.0,7390091.0,2.0,2.0,11.0,3.0,2.0,,,,,,,,,,2.0,156.32027,6.0,6,73.0,36.0,327448.0,7390091.0,73.0,36.0,327916.0,7389563.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,705.56,642
642,3,36,333648,7394266,30782,0,129.971429,782,1,21042018,1,1,1,1,1,307821,0,129.971429,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,23.0,,,,2100.0,1,30782101,0,137.954139,1,1,22,2,5,4,1,1,2100.0,24.0,36.0,332972.0,7393810.0,2.0,73.0,36.0,327448.0,7390091.0,2.0,2.0,11.0,3.0,2.0,,,,,,,,,,3.0,156.32027,6.0,6,73.0,36.0,327916.0,7389563.0,73.0,36.0,327448.0,7390091.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,50.0,,10.0,16.0,3.0,,,,1.0,,,705.56,643
865,4,36,332262,7394772,40049,0,193.619048,49,1,15082017,1,1,1,3,1,400491,0,193.619048,1,3,2,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1,2.0,44.0,2014.0,,,7800.0,1,40049101,0,189.235286,1,1,35,1,1,4,1,1,6000.0,,,,,,73.0,36.0,327712.0,7389437.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,2.0,214.428586,2.0,4,73.0,36.0,327712.0,7389437.0,73.0,36.0,327626.0,7389469.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,10.0,,12.0,17.0,,7.0,16.0,3.0,,,,1.0,,,91.76,866
866,4,36,332262,7394772,40049,0,193.619048,49,1,15082017,1,1,1,3,1,400491,0,193.619048,1,3,2,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1,2.0,44.0,2014.0,,,7800.0,1,40049101,0,189.235286,1,1,35,1,1,4,1,1,6000.0,,,,,,73.0,36.0,327712.0,7389437.0,2.0,2.0,2.0,12.0,1.0,,,,,,,,,,3.0,214.428586,2.0,4,73.0,36.0,327626.0,7389469.0,73.0,36.0,327712.0,7389437.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,47.0,,7.0,16.0,3.0,,,,1.0,,,91.76,867
