,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
254,2,36,333381,7396181,20019,0,34.678571,19,1,8062018,1,1,1,1,1,200191,0,34.678571,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,17.0,,,,1800.0,1,20019101,0,40.193092,1,1,48,2,1,4,1,1,1800.0,,,,,,136.0,36.0,330524.0,7398876.0,2.0,2.0,4.0,4.0,1.0,,,,,,,,,,2.0,45.544085,5.0,3,136.0,36.0,330524.0,7398876.0,136.0,36.0,330445.0,7398723.0,,,,,,,,,,,,,2.0,7.0,7.0,2.0,2.0,16.0,,,,17.0,30.0,,17.0,40.0,,10.0,16.0,3.0,,,,1.0,,,172.19,255
1869,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,3.0,38.12384,6.0,6,136.0,36.0,330048.0,7399118.0,136.0,36.0,329947.0,7399201.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,15.0,,13.0,20.0,,5.0,16.0,3.0,,,,1.0,,,130.73,1870
1870,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,4.0,38.12384,6.0,6,136.0,36.0,329947.0,7399201.0,136.0,36.0,330048.0,7399118.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,14.0,0.0,,14.0,10.0,,10.0,16.0,3.0,,,,1.0,,,130.73,1871
1871,8,36,331376,7398080,80047,0,34.636364,47,1,22022018,1,1,1,3,1,800471,0,34.636364,1,3,1,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1,2.0,40.0,2015.0,,,21000.0,1,80047101,0,33.644654,1,1,47,2,6,5,1,1,6000.0,32.0,36.0,330520.0,7394030.0,2.0,136.0,36.0,330048.0,7399118.0,2.0,2.0,2.0,12.0,4.0,,,,,,,,,,5.0,38.12384,6.0,6,136.0,36.0,330048.0,7399118.0,136.0,36.0,329947.0,7399201.0,,,,,,,,,,,,,3.0,7.0,7.0,2.0,2.0,16.0,,,,19.0,50.0,,19.0,53.0,,3.0,16.0,3.0,,,,1.0,,,130.73,1872
6985,23,36,332720,7393121,230042,0,47.459459,42,1,6032018,1,1,1,3,1,2300421,0,47.459459,1,3,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,3.0,36.0,,,,4949.29,3,230042103,0,25.154389,3,3,24,2,5,4,1,3,,24.0,36.0,332972.0,7393810.0,2.0,141.0,36.0,330063.0,7402784.0,2.0,2.0,5.0,12.0,2.0,,,,,,,,,,2.0,28.503246,2.0,6,141.0,36.0,330063.0,7402784.0,141.0,36.0,329746.0,7402775.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,7.0,,7.0,16.0,3.0,,,,1.0,,,317.13,6986
6986,23,36,332720,7393121,230042,0,47.459459,42,1,6032018,1,1,1,3,1,2300421,0,47.459459,1,3,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,3.0,36.0,,,,4949.29,3,230042103,0,25.154389,3,3,24,2,5,4,1,3,,24.0,36.0,332972.0,7393810.0,2.0,141.0,36.0,330063.0,7402784.0,2.0,2.0,5.0,12.0,2.0,,,,,,,,,,3.0,28.503246,2.0,6,141.0,36.0,329746.0,7402775.0,141.0,36.0,330063.0,7402784.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,45.0,,12.0,53.0,,8.0,16.0,3.0,,,,1.0,,,317.13,6987
8538,27,36,331999,7392871,271943,0,48.105882,1943,1,6102018,1,1,1,4,1,2719431,0,48.105882,1,4,2,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,48.0,2016.0,,,9461.63,3,271943102,0,52.587423,2,2,49,1,1,5,1,3,,,,,,,124.0,36.0,328639.0,7403275.0,2.0,2.0,1.0,3.0,5.0,,,,,,,,,,4.0,59.5885,6.0,7,124.0,36.0,328639.0,7403275.0,124.0,36.0,328679.0,7403321.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,60.96,8539
8539,27,36,331999,7392871,271943,0,48.105882,1943,1,6102018,1,1,1,4,1,2719431,0,48.105882,1,4,2,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,48.0,2016.0,,,9461.63,3,271943102,0,52.587423,2,2,49,1,1,5,1,3,,,,,,,124.0,36.0,328639.0,7403275.0,2.0,2.0,1.0,3.0,5.0,,,,,,,,,,5.0,59.5885,6.0,7,124.0,36.0,328679.0,7403321.0,124.0,36.0,328639.0,7403275.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,40.0,,12.0,42.0,,2.0,16.0,3.0,,,,1.0,,,60.96,8540
18556,49,36,332905,7391716,490779,0,73.762712,779,1,8092018,1,1,1,4,1,4907791,0,73.762712,1,4,2,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2.0,39.0,2016.0,,,8600.0,1,490779101,0,64.991327,1,1,34,1,1,4,1,1,2400.0,,,,,,121.0,36.0,328588.0,7405625.0,2.0,2.0,8.0,3.0,1.0,,,,,,,,,,2.0,73.643762,4.0,4,121.0,36.0,328588.0,7405625.0,142.0,36.0,329620.0,7403934.0,,,,,,,,,,,,,1.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,10.0,,10.0,16.0,3.0,,,,1.0,,,1981.04,18557
18557,49,36,332905,7391716,490779,0,73.762712,779,1,8092018,1,1,1,4,1,4907791,0,73.762712,1,4,2,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2.0,39.0,2016.0,,,8600.0,1,490779101,0,64.991327,1,1,34,1,1,4,1,1,2400.0,,,,,,121.0,36.0,328588.0,7405625.0,2.0,2.0,8.0,3.0,1.0,,,,,,,,,,3.0,73.643762,4.0,4,142.0,36.0,329620.0,7403934.0,121.0,36.0,328588.0,7405625.0,,,,,,,,,,,,,11.0,1.0,1.0,2.0,2.0,16.0,,,,12.0,20.0,,12.0,30.0,,10.0,16.0,3.0,,,,1.0,,,1981.04,18558
